# N pearson spearman ipr ipr_uniform ratio
215 0.127790 0.528120 0.000278 0.004651 0.059796
246 0.244449 0.550399 0.000849 0.004065 0.208973
284 0.057195 0.079898 0.001451 0.003521 0.412100
316 0.141374 0.369769 0.000453 0.003165 0.143043
358 0.040669 0.388595 0.000813 0.002793 0.290982
411 0.114459 0.344894 0.000442 0.002433 0.181847
549 0.093886 0.474443 0.000687 0.001821 0.377182
605 -0.029811 0.415496 0.002825 0.001653 1.709367
671 0.070092 0.381392 0.001307 0.001490 0.877238
849 -0.004741 0.403696 0.001624 0.001178 1.378407
888 -0.015274 0.281669 0.005980 0.001126 5.309973
1048 0.096098 0.407836 0.000514 0.000954 0.538163
1060 0.044795 0.469754 0.000414 0.000943 0.439001
1277 0.123311 0.490462 0.000311 0.000783 0.397245
1457 0.027126 0.413095 0.000982 0.000686 1.430322
1745 0.001920 0.393491 0.004023 0.000573 7.020764
2320 -0.025616 0.386832 0.011967 0.000431 27.763626
2330 0.012819 0.425654 0.000496 0.000429 1.155897
2330 0.012819 0.425654 0.000496 0.000429 1.155897
2677 -0.018178 0.448106 0.019094 0.000374 51.115719
4047 -0.016840 0.467028 0.007738 0.000247 31.314323
5081 0.025286 0.408674 0.000780 0.000197 3.962273
5890 0.014851 0.413170 0.002139 0.000170 12.598560
5925 0.009834 0.401044 0.002129 0.000169 12.611979
11799 0.001573 0.449396 0.010803 0.000100 108.034985
11802 -0.009634 0.273205 0.008149 0.000100 81.488697
23600 -0.007104 0.453452 0.065953 0.000100 659.529552
23666 0.025332 0.419588 0.003556 0.000100 35.557981
23666 0.022831 0.490685 0.004046 0.000100 40.457420
59218 0.026279 0.608684 0.017881 0.000100 178.810088
59256 0.048424 0.686458 0.001894 0.000100 18.941909
100608 0.017702 0.779060 0.064545 0.000100 645.450088
100608 0.052663 0.777715 0.006804 0.000100 68.038738
