# fusion_events	largest_component_size
199	2369
400	226
450	385
499	5970
700	104
800	158
900	876
950	692
999	11898
1600	118
1750	204
1800	130
1850	159
1900	397
1950	356
1999	23836
2650	121
3400	147
3450	137
3750	237
3800	126
3800	223
3900	139
3900	142
3950	109
4000	146
4150	344
4250	166
4300	227
4350	122
4350	170
4400	216
4450	360
4450	100
4500	102
4500	369
4550	127
4550	148
4600	603
4600	153
4650	645
4700	616
4750	222
4750	564
4800	864
4800	646
4850	239
4900	1068
4900	5151
4950	2710
4950	972
4999	59517
4999	59517
5300	185
5500	114
6200	106
6350	123
6500	128
6550	100
6600	131
7000	149
7100	100
7150	246
7350	171
7450	257
7600	182
7650	302
7700	514
7750	184
7850	450
7900	164
7950	618
8000	258
8050	324
8100	352
8150	1301
8200	265
8250	1481
8300	2104
8350	445
8400	271
8450	4104
8479	100913
