# N alpha d r2_exp r2_pow
13 0.3936 0.8640 0.9256 0.9807
91607 0.3341 4.7670 0.9782 0.9901
98313 0.5172 4.8174 0.9717 0.9843
99912 0.7290 5.7044 0.9873 0.9939
100605 0.7479 5.1232 0.9813 0.9902
11811 0.5411 3.4625 0.9515 0.9736
11913 0.2909 2.8525 0.9715 0.9931
11913 0.3137 3.1536 0.9838 0.9977
11913 0.3280 3.3459 0.9847 0.9974
10828 0.0839 2.2711 0.9737 0.9982
10828 0.0762 2.2016 0.9712 0.9977
10828 0.0809 2.3158 0.9760 0.9986
11672 0.2058 2.9483 0.9837 0.9985
11672 0.1844 2.7278 0.9721 0.9941
11672 0.2019 2.6727 0.9732 0.9955
11802 0.5616 3.6231 0.9638 0.9823
11802 0.6073 3.9899 0.9766 0.9900
11802 0.6078 3.9991 0.9705 0.9853
23666 0.5412 3.4601 0.9537 0.9756
23600 0.7731 5.3280 0.9854 0.9928
23600 0.5991 3.9310 0.9611 0.9783
23600 0.5905 3.8587 0.9627 0.9801
5890 0.5109 3.2154 0.9526 0.9765
59218 0.7220 4.9154 0.9807 0.9903
5926 0.7086 4.1028 0.9856 0.9951
5926 0.7381 4.3126 0.9886 0.9964
5926 0.4849 3.0065 0.9442 0.9719
100608 0.8247 5.7388 0.9888 0.9947
100790 0.5982 3.9253 0.9478 0.9677
100881 0.7976 4.7195 0.9737 0.9848
100903 0.6908 3.9802 0.9447 0.9637
100906 1.1993 6.2989 0.9966 0.9990
100912 0.8836 4.4272 0.9747 0.9859
100912 0.7912 3.8832 0.9530 0.9705
2330 0.6075 3.3900 0.9762 0.9914
2320 0.6438 3.6468 0.9834 0.9949
2320 0.6192 3.4728 0.9787 0.9927
2320 0.5684 3.1121 0.9704 0.9891
2338 0.6103 3.4108 0.9728 0.9890
2327 0.4787 2.9558 0.9562 0.9810
2327 0.4783 2.9486 0.9597 0.9838
2327 0.4575 2.7828 0.9525 0.9801
5926 0.5042 3.1633 0.9496 0.9745
5926 0.5092 3.2009 0.9532 0.9772
5926 0.5158 3.2585 0.9498 0.9738
5925 0.7219 4.1967 0.9860 0.9951
5869 0.6675 3.8126 0.9775 0.9906
5869 0.6850 3.9351 0.9807 0.9924
5869 0.4908 3.0521 0.9466 0.9735
5890 0.4641 2.8403 0.9358 0.9673
584 0.3291 2.0544 0.9665 0.9966
584 0.3267 2.0364 0.9606 0.9941
584 0.2779 1.8750 0.9486 0.9905
857 0.4794 2.4874 0.9533 0.9829
671 0.5073 2.6860 0.9636 0.9874
11799 0.5606 3.6197 0.9563 0.9763
11802 0.5527 3.5540 0.9592 0.9790
11802 0.5826 3.7914 0.9693 0.9856
11802 0.5583 3.5990 0.9607 0.9800
11808 0.5802 3.7748 0.9679 0.9844
11808 0.5738 3.7252 0.9636 0.9813
11808 0.5434 3.4796 0.9560 0.9771
11811 0.5654 3.6583 0.9584 0.9777
1060 0.5361 2.8866 0.9677 0.9887
1060 0.5348 2.8788 0.9651 0.9870
1060 0.5171 2.7468 0.9665 0.9895
500 0.4801 2.4877 0.9686 0.9924
500 0.5160 2.7479 0.9732 0.9925
500 0.5009 2.6337 0.9705 0.9925
577 0.5067 2.6780 0.9763 0.9949
577 0.4890 2.5558 0.9681 0.9911
577 0.4193 2.4714 0.9612 0.9888
559 0.4696 2.4183 0.9584 0.9868
1745 0.5797 3.1918 0.9766 0.9926
1745 0.6163 3.4526 0.9814 0.9944
1745 0.5913 3.2750 0.9775 0.9928
888 0.5273 2.8199 0.9754 0.9939
888 0.5180 2.7542 0.9693 0.9909
888 0.5634 3.0781 0.9810 0.9956
23600 0.5828 3.7988 0.9579 0.9765
23600 0.5992 3.9265 0.9668 0.9831
23600 0.5735 3.7243 0.9569 0.9762
23643 0.6145 4.0512 0.9668 0.9824
23643 0.5616 3.6300 0.9512 0.9721
23643 0.8549 5.1281 0.9916 0.9971
23611 0.6270 4.1552 0.9665 0.9816
23666 0.5373 3.4326 0.9451 0.9689
581 0.4835 2.5145 0.9610 0.9877
628 0.5007 2.6369 0.9681 0.9907
589 0.5565 3.0319 0.9788 0.9944
549 0.4733 2.4386 0.9681 0.9926
849 0.5045 2.6557 0.9701 0.9923
625 0.5133 2.7237 0.9714 0.9921
1048 0.5878 3.2524 0.9817 0.9952
5081 0.4666 2.8550 0.9459 0.9750
2677 0.5949 3.2994 0.9729 0.9898
949 0.5369 2.8900 0.9723 0.9916
59256 0.7102 4.8214 0.9772 0.9877
59218 0.7076 4.8011 0.9785 0.9888
498 0.4760 2.4647 0.9601 0.9873
605 0.4725 2.4349 0.9634 0.9900
1277 0.5856 3.2349 0.9826 0.9959
1457 0.5436 2.9405 0.9647 0.9863
2082 0.5854 3.2350 0.9718 0.9892
4047 0.6499 3.6879 0.9804 0.9930
100608 0.8179 5.6842 0.9876 0.9939
