# log_ij	log_K_fit
3.529530	-2.522552
3.681013	-2.576847
3.832496	-2.631143
3.983978	-2.685439
4.135461	-2.739734
4.286943	-2.794030
4.438426	-2.848325
4.589908	-2.902621
4.741391	-2.956917
4.892873	-3.011212
5.044356	-3.065508
5.195838	-3.119804
5.347321	-3.174099
5.498803	-3.228395
5.650286	-3.282690
5.801768	-3.336986
5.953251	-3.391282
6.104734	-3.445577
6.256216	-3.499873
6.407699	-3.554169
6.559181	-3.608464
6.710664	-3.662760
6.862146	-3.717055
7.013629	-3.771351
7.165111	-3.825647
7.316594	-3.879942
7.468076	-3.934238
7.619559	-3.988534
7.771041	-4.042829
7.922524	-4.097125
8.074007	-4.151420
8.225489	-4.205716
8.376972	-4.260012
8.528454	-4.314307
8.679937	-4.368603
8.831419	-4.422899
8.982902	-4.477194
9.134384	-4.531490
9.285867	-4.585785
9.437349	-4.640081
9.588832	-4.694377
9.740314	-4.748672
9.891797	-4.802968
10.043279	-4.857263
10.194762	-4.911559
10.346245	-4.965855
10.497727	-5.020150
10.649210	-5.074446
10.800692	-5.128742
10.952175	-5.183037
11.103657	-5.237333
11.255140	-5.291628
11.406622	-5.345924
11.558105	-5.400220
11.709587	-5.454515
11.861070	-5.508811
12.012552	-5.563107
12.164035	-5.617402
12.315517	-5.671698
12.467000	-5.725993
12.618483	-5.780289
12.769965	-5.834585
12.921448	-5.888880
13.072930	-5.943176
13.224413	-5.997472
13.375895	-6.051767
13.527378	-6.106063
13.678860	-6.160358
13.830343	-6.214654
13.981825	-6.268950
14.133308	-6.323245
14.284790	-6.377541
14.436273	-6.431837
14.587756	-6.486132
14.739238	-6.540428
14.890721	-6.594723
15.042203	-6.649019
15.193686	-6.703315
15.345168	-6.757610
15.496651	-6.811906
15.648133	-6.866202
15.799616	-6.920497
15.951098	-6.974793
16.102581	-7.029088
16.254063	-7.083384
16.405546	-7.137680
16.557028	-7.191975
16.708511	-7.246271
16.859994	-7.300567
17.011476	-7.354862
17.162959	-7.409158
17.314441	-7.463453
17.465924	-7.517749
17.617406	-7.572045
17.768889	-7.626340
17.920371	-7.680636
18.071854	-7.734932
18.223336	-7.789227
18.374819	-7.843523
18.526301	-7.897818
