# log_ij	log_K	weight
3.529530	-7.704181	15
3.924182	-5.676033	114
4.318834	-3.952327	639
4.713486	-2.348538	3177
5.108138	-1.439640	7884
5.502790	-2.609204	2448
5.897442	-2.141962	3906
6.292094	-2.410876	2985
6.686745	-2.673743	2295
7.081397	-2.942007	1755
7.476049	-3.148201	1428
7.870701	-3.397417	1113
8.265353	-3.529794	975
8.660005	-3.696848	825
9.054657	-3.837155	717
9.449308	-4.148833	525
9.843960	-4.336885	435
10.238612	-4.477337	378
10.633264	-4.631487	324
11.027916	-4.969813	231
11.422568	-5.050939	213
11.817220	-5.381793	153
12.211872	-5.650057	117
12.606523	-5.787258	102
13.001175	-5.600047	123
13.395827	-6.094743	75
13.790479	-6.369180	57
14.185131	-6.605569	45
14.579783	-6.605569	45
14.974435	-6.541030	48
15.369086	-7.116394	27
15.763738	-7.367709	21
16.158390	-7.521859	18
16.553042	-7.704181	15
16.947694	-7.927324	12
17.342346	-8.215006	9
18.526301	-8.215006	9
