# N L C C_rand S
100913 2.1973 0.1176 0.0000 56990.9060
100913 15.2455 0.0964 0.0000 3029.1002
100913 10.1032 0.0404 0.0000 1028.3142
100913 8.4593 0.0240 0.0000 508.4965
100913 7.4029 0.0182 0.0001 316.9743
1000 6.7291 0.0308 0.0045 4.5887
1000 10.6532 0.0572 0.0051 4.4463
1000 10.5576 0.0595 0.0051 4.6717
1000 10.5473 0.0512 0.0051 4.0264
1000 32.1201 0.0764 0.0025 7.1803
1000 31.4540 0.0537 0.0025 5.1607
1000 31.4928 0.1088 0.0025 10.4368
1000 15.4798 0.0685 0.0035 7.0258
1000 15.2135 0.0607 0.0035 6.3435
1000 15.3648 0.0493 0.0035 5.0953
1000 6.9163 0.0416 0.0044 6.3155
1000 6.9203 0.0261 0.0044 3.9610
1000 6.8820 0.0319 0.0044 4.8682
200 6.2355 0.0488 0.0197 1.5432
2000 7.0167 0.0264 0.0024 7.6738
2000 6.9359 0.0262 0.0024 7.5158
2000 6.8748 0.0243 0.0024 7.0349
2000 6.8842 0.0379 0.0024 10.9722
200 6.3381 0.0393 0.0192 1.2766
200 6.3382 0.0407 0.0192 1.3225
200 6.3930 0.0462 0.0192 1.4891
500 6.6440 0.0275 0.0085 2.0968
5000 7.2696 0.0188 0.0010 13.2284
500 6.4621 0.0302 0.0086 2.3121
500 6.4731 0.0242 0.0086 1.8494
500 6.4491 0.0256 0.0086 1.9621
8480 7.4340 0.0165 0.0006 18.6726
100913 6.7702 0.0164 0.0001 243.9991
100913 6.3536 0.0172 0.0001 226.1227
100913 5.9614 0.0107 0.0001 122.3212
100913 5.6996 0.0084 0.0001 85.6311
100913 5.5086 0.0085 0.0001 79.7012
100913 5.2939 0.0077 0.0001 65.4949
2369 6.2877 0.0475 0.0017 25.9968
2380 6.2418 0.0411 0.0016 23.7992
2380 6.3223 0.0385 0.0016 22.0158
2380 6.2644 0.0332 0.0016 19.1198
2370 6.0620 0.0277 0.0017 15.0145
2379 6.4885 0.0310 0.0016 18.2072
2379 6.4980 0.0362 0.0016 21.2022
2379 6.5747 0.0438 0.0016 25.3743
103 4.9772 0.1103 0.0259 4.0872
114 5.5982 0.0625 0.0219 2.6649
114 5.5773 0.0625 0.0219 2.6748
114 5.5998 0.0625 0.0219 2.6641
226 5.6472 0.0582 0.0125 4.2916
236 5.4308 0.0588 0.0123 4.5307
236 5.4201 0.0588 0.0123 4.5397
236 5.3935 0.0588 0.0123 4.5621
110 5.4324 0.0894 0.0225 3.8274
