# N beta1 lambda1 lambda_pred
100913 36308 15.3988 0.7196
100913 81085 15.5454 1.6070
100913 121674 15.5332 2.4115
100913 170289 15.4661 3.3750
11898 15216 16.4725 2.5577
11921 18527 13.1243 3.1083
11921 18527 13.1243 3.1083
11921 18527 13.1243 3.1083
11986 3919 13.5067 0.6539
11986 3919 13.5067 0.6539
11986 3919 13.5067 0.6539
11942 9102 14.4625 1.5244
11942 9102 14.4625 1.5244
11942 9102 14.4625 1.5244
11924 14546 13.8154 2.4398
11924 14546 13.8154 2.4398
11924 14546 13.8154 2.4398
2369 2308 12.9440 1.9485
23744 33849 18.3321 2.8512
23744 33849 18.3321 2.8512
23744 33849 18.3321 2.8512
2380 2226 13.8257 1.8706
2380 2226 13.8257 1.8706
2380 2226 13.8257 1.8706
5970 6767 13.7365 2.2670
59517 92786 14.0234 3.1180
5995 6965 12.9404 2.3236
5995 6965 12.9404 2.3236
5995 6965 12.9404 2.3236
100913 171842 17.1289 3.4057
100913 216373 15.5170 4.2883
100913 257502 15.6469 5.1034
100913 308941 15.7135 6.1229
100913 356379 15.7928 7.0631
100913 395441 15.9675 7.8373
100913 446579 16.0281 8.8508
2369 2308 12.9440 1.9485
2380 2226 13.8257 1.8706
2380 2226 13.8257 1.8706
2380 2226 13.8257 1.8706
2370 2429 12.1550 2.0498
2379 2081 11.5615 1.7495
2379 2081 11.5615 1.7495
2379 2081 11.5615 1.7495
103 44 6.8376 0.8544
114 36 8.0302 0.6316
114 36 8.0302 0.6316
114 36 8.0302 0.6316
226 102 8.4667 0.9027
236 118 11.4864 1.0000
236 118 11.4864 1.0000
236 118 11.4864 1.0000
110 35 10.8232 0.6364
186 83 12.7393 0.8925
186 83 12.7393 0.8925
186 83 12.7393 0.8925
385 240 10.2445 1.2468
5995 6965 12.9404 2.3236
5995 6965 12.9404 2.3236
5995 6965 12.9404 2.3236
6002 7124 14.5043 2.3739
5914 7168 16.4034 2.4241
5914 7168 16.4034 2.4241
5914 7168 16.4034 2.4241
5970 6767 13.7365 2.2670
120 94 12.4840 1.5667
120 94 12.4840 1.5667
120 94 12.4840 1.5667
107 51 8.6791 0.9533
107 51 8.6791 0.9533
107 51 8.6791 0.9533
124 203 10.1317 3.2742
124 203 10.1317 3.2742
124 203 10.1317 3.2742
144 89 9.7218 1.2361
144 89 9.7218 1.2361
144 89 9.7218 1.2361
104 37 8.4479 0.7115
206 122 8.7347 1.1845
206 122 8.7347 1.1845
206 122 8.7347 1.1845
105 138 9.6109 2.6286
105 138 9.6109 2.6286
105 138 9.6109 2.6286
123 58 10.9588 0.9431
245 204 9.2872 1.6653
245 204 9.2872 1.6653
245 204 9.2872 1.6653
144 87 10.0285 1.2083
144 87 10.0285 1.2083
144 87 10.0285 1.2083
203 119 10.0844 1.1724
203 119 10.0844 1.1724
203 119 10.0844 1.1724
158 62 10.3366 0.7848
182 105 10.0817 1.1538
182 105 10.0817 1.1538
182 105 10.0817 1.1538
134 37 12.0393 0.5522
134 37 12.0393 0.5522
134 37 12.0393 0.5522
158 64 9.3785 0.8101
158 64 9.3785 0.8101
158 64 9.3785 0.8101
118 165 8.7737 2.7966
118 165 8.7737 2.7966
118 165 8.7737 2.7966
595 418 11.0519 1.4050
595 418 11.0519 1.4050
595 418 11.0519 1.4050
370 229 9.7954 1.2378
144 68 11.4823 0.9444
144 68 11.4823 0.9444
144 68 11.4823 0.9444
190 51 11.1673 0.5368
190 51 11.1673 0.5368
190 51 11.1673 0.5368
104 38 7.3683 0.7308
104 38 7.3683 0.7308
104 38 7.3683 0.7308
876 705 11.5929 1.6096
312 461 11.5064 2.9551
312 461 11.5064 2.9551
312 461 11.5064 2.9551
293 208 11.0354 1.4198
293 208 11.0354 1.4198
293 208 11.0354 1.4198
120 68 7.3917 1.1333
198 91 8.4136 0.9192
198 91 8.4136 0.9192
198 91 8.4136 0.9192
419 153 11.2554 0.7303
419 153 11.2554 0.7303
419 153 11.2554 0.7303
118 48 10.8799 0.8136
118 48 10.8799 0.8136
118 48 10.8799 0.8136
692 509 13.1411 1.4711
11888 15491 14.3380 2.6062
11924 14546 13.8154 2.4398
11924 14546 13.8154 2.4398
11924 14546 13.8154 2.4398
11906 14802 13.8657 2.4865
11906 14802 13.8657 2.4865
11898 15216 16.4725 2.5577
122 52 10.3947 0.8525
136 73 8.7775 1.0735
136 73 8.7775 1.0735
136 73 8.7775 1.0735
254 169 11.0194 1.3307
254 169 11.0194 1.3307
254 169 11.0194 1.3307
109 52 8.2229 0.9541
161 80 8.8497 0.9938
161 80 8.8497 0.9938
161 80 8.8497 0.9938
118 56 8.6702 0.9492
246 130 9.6169 1.0569
246 130 9.6169 1.0569
246 130 9.6169 1.0569
330 207 10.2605 1.2545
187 97 8.6642 1.0374
164 71 9.0112 0.8659
164 71 9.0112 0.8659
164 71 9.0112 0.8659
253 141 10.6301 1.1146
253 141 10.6301 1.1146
253 141 10.6301 1.1146
204 108 7.5395 1.0588
255 139 11.0372 1.0902
255 139 11.0372 1.0902
255 139 11.0372 1.0902
421 269 9.7713 1.2779
1083 934 11.7498 1.7248
1083 934 11.7498 1.7248
1083 934 11.7498 1.7248
130 41 10.6631 0.6308
526 355 10.9863 1.3498
526 355 10.9863 1.3498
526 355 10.9863 1.3498
184 94 10.5664 1.0217
184 94 10.5664 1.0217
184 94 10.5664 1.0217
373 253 9.3398 1.3566
159 53 9.2775 0.6667
595 396 11.0547 1.3311
595 396 11.0547 1.3311
595 396 11.0547 1.3311
454 329 12.4252 1.4493
454 329 12.4252 1.4493
454 329 12.4252 1.4493
578 435 10.9783 1.5052
397 287 9.7960 1.4458
1776 1601 14.3269 1.8029
1776 1601 14.3269 1.8029
1776 1601 14.3269 1.8029
916 756 13.6085 1.6507
916 756 13.6085 1.6507
916 756 13.6085 1.6507
155 70 9.2955 0.9032
356 252 9.3874 1.4157
23744 33849 18.3321 2.8512
23744 33849 18.3321 2.8512
23744 33849 18.3321 2.8512
23803 34118 16.6645 2.8667
23803 34118 16.6645 2.8667
23803 34118 16.6645 2.8667
23785 32673 14.7725 2.7474
121 71 9.1164 1.1736
147 61 9.8952 0.8299
137 67 9.9300 0.9781
237 138 10.1908 1.1646
126 43 7.4873 0.6825
223 139 10.4620 1.2466
139 57 9.4623 0.8201
142 59 9.6502 0.8310
109 33 8.1725 0.6055
146 77 7.8502 1.0548
344 215 9.3537 1.2500
166 91 10.0810 1.0964
227 140 7.1697 1.2335
122 58 8.7047 0.9508
170 74 10.3003 0.8706
216 154 9.6312 1.4259
360 227 9.2932 1.2611
100 34 8.3000 0.6800
102 44 10.2740 0.8627
369 240 11.8294 1.3008
127 56 9.3177 0.8819
148 74 12.1375 1.0000
603 434 9.9186 1.4395
153 55 8.8335 0.7190
645 487 10.3025 1.5101
616 453 11.6723 1.4708
222 94 8.5514 0.8468
564 382 9.7744 1.3546
864 707 11.0903 1.6366
646 491 11.8266 1.5201
239 133 11.1993 1.1130
1068 900 11.9850 1.6854
5151 5819 12.3805 2.2594
2710 2768 12.3207 2.0428
972 746 10.5391 1.5350
59517 94536 14.0036 3.1768
59517 92786 14.0234 3.1180
185 70 11.9580 0.7568
114 39 7.3313 0.6842
106 53 7.3313 1.0000
123 44 9.7817 0.7154
128 56 10.1330 0.8750
100 38 6.4968 0.7600
131 51 8.8208 0.7786
149 90 7.3204 1.2081
100 37 8.9535 0.7400
246 129 10.3159 1.0488
171 86 10.4814 1.0058
257 139 9.3510 1.0817
182 85 11.9062 0.9341
302 190 10.8292 1.2583
514 361 10.4219 1.4047
184 88 9.9366 0.9565
450 289 10.0589 1.2844
164 93 8.7607 1.1341
618 489 10.8967 1.5825
258 144 10.2531 1.1163
324 184 10.5245 1.1358
352 232 9.5921 1.3182
1301 1083 11.8907 1.6649
265 124 10.5424 0.9358
1481 1378 11.8995 1.8609
2104 2044 12.3702 1.9430
445 273 10.6080 1.2270
271 144 12.3169 1.0627
4104 4607 11.7146 2.2451
100913 171842 17.1289 3.4057
