# N E components cycles cycle_density
100913 91893 26160 17140 0.169849
100913 129675 7546 36308 0.359795
100913 179550 2448 81085 0.803514
100913 221610 977 121674 1.205732
100913 270898 304 170289 1.687483
11898 27028 86 15216 1.278870
11921 30439 9 18527 1.554148
11921 30439 9 18527 1.554148
11921 30439 9 18527 1.554148
11986 14964 941 3919 0.326965
11986 14964 941 3919 0.326965
11986 14964 941 3919 0.326965
11942 20789 255 9102 0.762184
11942 20789 255 9102 0.762184
11942 20789 255 9102 0.762184
11924 26352 118 14546 1.219893
11924 26352 118 14546 1.219893
11924 26352 118 14546 1.219893
2369 4638 39 2308 0.974251
23836 56784 157 33105 1.388866
23744 57453 140 33849 1.425581
23744 57453 140 33849 1.425581
23744 57453 140 33849 1.425581
2380 4546 60 2226 0.935294
2380 4546 60 2226 0.935294
2380 4546 60 2226 0.935294
5970 12658 79 6767 1.133501
59517 152008 295 92786 1.558983
5995 12892 68 6965 1.161802
5995 12892 68 6965 1.161802
5995 12892 68 6965 1.161802
100913 272452 303 171842 1.702873
100913 317163 123 216373 2.144154
100913 358382 33 257502 2.551723
100913 409843 11 308941 3.061459
100913 457284 8 356379 3.531547
100913 496352 2 395441 3.918633
100913 547490 2 446579 4.425386
2369 4638 39 2308 0.974251
2380 4546 60 2226 0.935294
2380 4546 60 2226 0.935294
2380 4546 60 2226 0.935294
2370 4767 32 2429 1.024895
2379 4410 50 2081 0.874737
2379 4410 50 2081 0.874737
2379 4410 50 2081 0.874737
103 136 11 44 0.427184
114 141 9 36 0.315789
114 141 9 36 0.315789
114 141 9 36 0.315789
226 319 9 102 0.451327
236 341 13 118 0.500000
236 341 13 118 0.500000
236 341 13 118 0.500000
110 135 10 35 0.318182
186 258 11 83 0.446237
186 258 11 83 0.446237
186 258 11 83 0.446237
385 615 10 240 0.623377
5995 12892 68 6965 1.161802
5995 12892 68 6965 1.161802
5995 12892 68 6965 1.161802
6002 13051 75 7124 1.186938
5914 13036 46 7168 1.212039
5914 13036 46 7168 1.212039
5914 13036 46 7168 1.212039
5970 12658 79 6767 1.133501
120 211 3 94 0.783333
120 211 3 94 0.783333
120 211 3 94 0.783333
107 155 3 51 0.476636
107 155 3 51 0.476636
107 155 3 51 0.476636
124 326 1 203 1.637097
124 326 1 203 1.637097
124 326 1 203 1.637097
144 229 4 89 0.618056
144 229 4 89 0.618056
144 229 4 89 0.618056
104 134 7 37 0.355769
206 323 5 122 0.592233
206 323 5 122 0.592233
206 323 5 122 0.592233
105 241 2 138 1.314286
105 241 2 138 1.314286
105 241 2 138 1.314286
123 167 14 58 0.471545
245 441 8 204 0.832653
245 441 8 204 0.832653
245 441 8 204 0.832653
144 226 5 87 0.604167
144 226 5 87 0.604167
144 226 5 87 0.604167
203 312 10 119 0.586207
203 312 10 119 0.586207
203 312 10 119 0.586207
158 211 9 62 0.392405
182 280 7 105 0.576923
182 280 7 105 0.576923
182 280 7 105 0.576923
134 160 11 37 0.276119
134 160 11 37 0.276119
134 160 11 37 0.276119
158 214 8 64 0.405063
158 214 8 64 0.405063
158 214 8 64 0.405063
118 282 1 165 1.398305
118 282 1 165 1.398305
118 282 1 165 1.398305
595 1001 12 418 0.702521
595 1001 12 418 0.702521
595 1001 12 418 0.702521
370 583 16 229 0.618919
144 206 6 68 0.472222
144 206 6 68 0.472222
144 206 6 68 0.472222
190 220 21 51 0.268421
190 220 21 51 0.268421
190 220 21 51 0.268421
104 135 7 38 0.365385
104 135 7 38 0.365385
104 135 7 38 0.365385
876 1562 19 705 0.804795
312 772 1 461 1.477564
312 772 1 461 1.477564
312 772 1 461 1.477564
293 492 9 208 0.709898
293 492 9 208 0.709898
293 492 9 208 0.709898
120 181 7 68 0.566667
198 281 8 91 0.459596
198 281 8 91 0.459596
198 281 8 91 0.459596
419 534 38 153 0.365155
419 534 38 153 0.365155
419 534 38 153 0.365155
118 158 8 48 0.406780
118 158 8 48 0.406780
118 158 8 48 0.406780
692 1180 21 509 0.735549
11888 27291 88 15491 1.303079
11924 26352 118 14546 1.219893
11924 26352 118 14546 1.219893
11924 26352 118 14546 1.219893
11906 26610 98 14802 1.243239
11906 26610 98 14802 1.243239
11906 26610 98 14802 1.243239
11898 27028 86 15216 1.278870
122 169 5 52 0.426230
136 205 4 73 0.536765
136 205 4 73 0.536765
136 205 4 73 0.536765
254 412 11 169 0.665354
254 412 11 169 0.665354
254 412 11 169 0.665354
109 155 6 52 0.477064
161 230 11 80 0.496894
161 230 11 80 0.496894
161 230 11 80 0.496894
118 170 4 56 0.474576
246 361 15 130 0.528455
246 361 15 130 0.528455
246 361 15 130 0.528455
330 522 15 207 0.627273
187 274 10 97 0.518717
164 227 8 71 0.432927
164 227 8 71 0.432927
164 227 8 71 0.432927
253 381 13 141 0.557312
253 381 13 141 0.557312
253 381 13 141 0.557312
204 304 8 108 0.529412
255 375 19 139 0.545098
255 375 19 139 0.545098
255 375 19 139 0.545098
421 679 11 269 0.638955
1083 1994 23 934 0.862419
1083 1994 23 934 0.862419
1083 1994 23 934 0.862419
130 160 11 41 0.315385
526 856 25 355 0.674905
526 856 25 355 0.674905
526 856 25 355 0.674905
184 268 10 94 0.510870
184 268 10 94 0.510870
184 268 10 94 0.510870
373 611 15 253 0.678284
159 203 9 53 0.333333
595 973 18 396 0.665546
595 973 18 396 0.665546
595 973 18 396 0.665546
454 764 19 329 0.724670
454 764 19 329 0.724670
454 764 19 329 0.724670
578 993 20 435 0.752595
397 674 10 287 0.722922
1776 3345 32 1601 0.901464
1776 3345 32 1601 0.901464
1776 3345 32 1601 0.901464
916 1643 29 756 0.825328
916 1643 29 756 0.825328
916 1643 29 756 0.825328
155 216 9 70 0.451613
356 594 14 252 0.707865
23744 57453 140 33849 1.425581
23744 57453 140 33849 1.425581
23744 57453 140 33849 1.425581
23803 57760 161 34118 1.433349
23803 57760 161 34118 1.433349
23803 57760 161 34118 1.433349
23785 56290 168 32673 1.373681
23836 56784 157 33105 1.388866
121 185 7 71 0.586777
147 201 7 61 0.414966
137 197 7 67 0.489051
237 363 12 138 0.582278
126 161 8 43 0.341270
223 354 8 139 0.623318
139 186 10 57 0.410072
142 196 5 59 0.415493
109 133 9 33 0.302752
146 216 7 77 0.527397
344 548 11 215 0.625000
166 249 8 91 0.548193
227 356 11 140 0.616740
122 173 7 58 0.475410
170 232 12 74 0.435294
216 361 9 154 0.712963
360 574 13 227 0.630556
100 128 6 34 0.340000
102 137 9 44 0.431373
369 595 14 240 0.650407
127 176 7 56 0.440945
148 210 12 74 0.500000
603 1018 19 434 0.719735
153 195 13 55 0.359477
645 1116 16 487 0.755039
616 1044 25 453 0.735390
222 304 12 94 0.423423
564 931 15 382 0.677305
864 1555 16 707 0.818287
646 1118 19 491 0.760062
239 359 13 133 0.556485
1068 1948 20 900 0.842697
5151 10902 68 5819 1.129684
2710 5444 34 2768 1.021402
972 1694 24 746 0.767490
59517 153794 259 94536 1.588387
59517 152008 295 92786 1.558983
185 239 16 70 0.378378
114 146 7 39 0.342105
106 156 3 53 0.500000
123 160 7 44 0.357724
128 178 6 56 0.437500
100 130 8 38 0.380000
131 172 10 51 0.389313
149 229 10 90 0.604027
100 128 9 37 0.370000
246 361 14 129 0.524390
171 246 11 86 0.502924
257 386 10 139 0.540856
182 258 9 85 0.467033
302 476 16 190 0.629139
514 859 16 361 0.702335
184 256 16 88 0.478261
450 724 15 289 0.642222
164 253 4 93 0.567073
618 1094 13 489 0.791262
258 390 12 144 0.558140
324 491 17 184 0.567901
352 573 11 232 0.659091
1301 2359 25 1083 0.832437
265 375 14 124 0.467925
1481 2834 25 1378 0.930452
2104 4126 22 2044 0.971483
445 702 16 273 0.613483
271 406 9 144 0.531365
4104 8656 55 4607 1.122563
100913 272452 303 171842 1.702873
