# N curv_real curv_std_real curv_null_mean curv_null_std z_score clustering_real clustering_null_mean
500 -8.0058 2.6754 -8.0970 0.0067 13.6116 0.030830 0.019381
514 -6.0932 2.2616 -6.3918 0.0163 18.3582 0.056830 0.005111
564 -5.9892 2.2245 -6.2751 0.0124 22.9994 0.041545 0.004912
595 -5.7654 2.1408 -6.1423 0.0116 32.4134 0.054754 0.004763
616 -6.2613 2.3825 -6.5760 0.0127 24.8182 0.045446 0.004307
692 -6.2103 2.0879 -6.4439 0.0102 22.9787 0.032815 0.003882
916 -6.6427 2.4146 -6.9588 0.0119 26.5243 0.046239 0.004233
1000 -9.0527 2.5890 -9.1414 0.0040 22.1737 0.052678 0.043411
1000 -6.2005 2.2433 -6.3013 0.0039 26.0428 0.053964 0.040464
1000 -8.3566 2.7335 -8.4083 0.0037 13.8050 0.027640 0.021946
1083 -6.8600 2.5323 -7.1170 0.0120 21.4535 0.043396 0.005609
1776 -6.9321 2.4482 -7.1800 0.0107 23.2408 0.039360 0.008532
2000 -9.1886 2.8505 -9.2110 0.0016 14.3799 0.024362 0.022006
2370 -7.5971 2.6220 -7.7781 0.0089 20.2797 0.032315 0.010203
2380 -7.2317 2.5616 -7.4272 0.0088 22.2789 0.037515 0.011103
5000 -9.7798 2.9832 -9.7877 0.0005 16.7094 0.021044 0.020254
5970 -8.0058 2.6754 -8.0973 0.0066 13.7910 0.030830 0.019502
6002 -8.1850 2.6782 -8.2799 0.0051 18.7219 0.028742 0.018219
11906 -8.4440 2.7436 -8.4923 0.0031 15.4748 0.027782 0.022196
11924 -8.3566 2.7335 -8.4071 0.0024 20.8281 0.027640 0.022064
23785 -9.0235 2.8569 -9.0456 0.0010 21.1094 0.024300 0.021919
23836 -9.0528 2.8531 -9.0753 0.0015 15.2982 0.024522 0.022030
100913 -6.6136 2.4335 -6.6234 0.0007 14.5833 0.040714 0.039331
100913 -13.7441 3.4823 -13.7470 0.0002 12.0553 0.012308 0.012100
100913 -10.3452 3.0408 -10.3496 0.0003 14.7308 0.019690 0.019277
