# N pearson_ec spearman_ec curv_deg_corr deg_mean deg_std
500 0.7443 0.7561 -0.9309 4.30 1.89
514 0.5338 0.6415 -0.8960 3.45 1.63
564 0.6963 0.7487 -0.8730 3.39 1.61
595 0.5250 0.6965 -0.8628 3.37 1.55
616 0.5315 0.6531 -0.8920 3.53 1.65
692 0.5092 0.7302 -0.9016 3.51 1.59
916 0.6452 0.6889 -0.8999 3.70 1.72
1000 0.0831 0.2455 -0.9014 5.11 1.85
1000 0.1218 0.2420 -0.8756 3.56 1.62
1000 0.7178 0.7430 -0.9401 4.46 1.94
1083 0.7581 0.7662 -0.9185 3.76 1.75
1776 0.7063 0.7625 -0.9053 3.83 1.74
2000 0.7852 0.8040 -0.9301 4.87 2.02
2370 0.7976 0.8084 -0.9298 4.08 1.87
2380 0.7208 0.7610 -0.9252 3.92 1.81
5000 0.7215 0.7347 -0.9357 5.13 2.10
5970 0.7443 0.7561 -0.9231 4.30 1.89
6002 0.3321 0.7289 -0.9376 4.40 1.90
11906 0.4718 0.7586 -0.9135 4.51 1.94
11924 0.7178 0.7430 -0.9344 4.46 1.94
23785 0.7471 0.7626 -0.9405 4.77 2.02
23836 0.7480 0.7494 -0.9361 4.80 2.01
100913 0.0462 0.6561 -0.9166 3.65 1.71
100913 0.8139 0.8174 -0.9644 7.11 2.46
100913 0.7696 0.7938 -0.9402 5.42 2.16
