# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 18.000 0.000 0.564 0.000000
1 18 19 7.556 2.499 2.394 0.263158
2 107 126 6.336 1.798 5.836 0.111111
3 547 673 6.417 2.184 13.195 0.118871
4 2709 3382 6.340 2.179 29.365 0.219101
5 11714 15096 6.204 2.144 61.063 0.510930
6 34759 49855 5.869 2.082 105.186 1.130739
7 40582 90437 5.153 2.004 113.656 1.655362
8 9701 100138 3.790 1.803 55.569 1.712866
9 456 100594 1.770 0.967 12.048 1.708273
10 12 100606 1.167 0.373 1.954 1.708069
11 2 100608 1.000 0.000 0.798 1.708035
