# r_norm mean_A std_A mean_V std_V
0.000000 0.000202 0.000160 0.000092 0.000064
0.010101 0.000434 0.000334 0.000211 0.000146
0.020202 0.000667 0.000509 0.000329 0.000228
0.030303 0.000899 0.000684 0.000448 0.000310
0.040404 0.001132 0.000860 0.000566 0.000393
0.050505 0.001364 0.001035 0.000684 0.000475
0.060606 0.001597 0.001210 0.000803 0.000557
0.070707 0.001829 0.001386 0.000921 0.000640
0.080808 0.002062 0.001561 0.001039 0.000722
0.090909 0.002294 0.001736 0.001158 0.000804
0.101010 0.002614 0.001936 0.001332 0.000913
0.111111 0.003566 0.002511 0.001935 0.001352
0.121212 0.004518 0.003088 0.002539 0.001798
0.131313 0.005471 0.003667 0.003142 0.002248
0.141414 0.006423 0.004247 0.003745 0.002699
0.151515 0.007375 0.004827 0.004348 0.003151
0.161616 0.008328 0.005408 0.004952 0.003604
0.171717 0.009280 0.005989 0.005555 0.004057
0.181818 0.010232 0.006571 0.006158 0.004510
0.191919 0.011265 0.007063 0.006802 0.004922
0.202020 0.012864 0.007891 0.007854 0.005702
0.212121 0.016733 0.010035 0.010538 0.007967
0.222222 0.020602 0.012183 0.013222 0.010246
0.232323 0.024470 0.014335 0.015907 0.012533
0.242424 0.028339 0.016488 0.018591 0.014822
0.252525 0.032208 0.018641 0.021275 0.017114
0.262626 0.036077 0.020796 0.023960 0.019408
0.272727 0.039945 0.022951 0.026644 0.021702
0.282828 0.044207 0.024681 0.029527 0.023823
0.292929 0.048468 0.026459 0.032409 0.025959
0.303030 0.055776 0.029623 0.037737 0.030697
0.313131 0.070189 0.035965 0.048770 0.041542
0.323232 0.084602 0.042328 0.059803 0.052433
0.333333 0.099016 0.048703 0.070835 0.063348
0.343434 0.113429 0.055087 0.081868 0.074276
0.353535 0.127843 0.061477 0.092901 0.085211
0.363636 0.142256 0.067870 0.103933 0.096151
0.373737 0.158231 0.072664 0.115792 0.106524
0.383838 0.174206 0.077695 0.127651 0.116953
0.393939 0.190181 0.082921 0.139510 0.127426
0.404040 0.215333 0.089236 0.161240 0.151028
0.414141 0.254252 0.097071 0.197776 0.194498
0.424242 0.293172 0.105000 0.234312 0.238141
0.434343 0.332091 0.113005 0.270847 0.281877
0.444444 0.371010 0.121069 0.307383 0.325668
0.454545 0.409930 0.129182 0.343919 0.369495
0.464646 0.452052 0.134556 0.382569 0.412289
0.474747 0.494175 0.140387 0.421220 0.455191
0.484848 0.536298 0.146619 0.459870 0.498171
0.494949 0.578420 0.153204 0.498520 0.541212
0.505051 0.620540 0.148588 0.555236 0.620571
0.515152 0.662657 0.132714 0.630018 0.736540
0.525253 0.704773 0.117162 0.704800 0.852799
0.535354 0.746890 0.102079 0.779582 0.969243
0.545455 0.789006 0.087706 0.854364 1.085813
0.555556 0.827194 0.070840 0.929680 1.202297
0.565657 0.865381 0.054161 1.004996 1.318851
0.575758 0.903568 0.037917 1.080312 1.435457
0.585859 0.941755 0.023046 1.155628 1.552103
0.595960 0.979942 0.014617 1.230944 1.668782
0.606061 0.972326 0.012267 1.294748 1.779759
0.616162 0.934174 0.030202 1.350876 1.886986
0.626263 0.896023 0.053261 1.407005 1.994283
0.636364 0.857871 0.076969 1.463133 2.101638
0.646465 0.811345 0.087519 1.516428 2.209806
0.656566 0.764819 0.101432 1.569723 2.318011
0.666667 0.718293 0.117521 1.623018 2.426250
0.676768 0.671767 0.135009 1.676313 2.534517
0.686869 0.625240 0.153420 1.729608 2.642810
0.696970 0.578714 0.172457 1.782903 2.751125
0.707071 0.528124 0.170242 1.805775 2.797790
0.717172 0.475791 0.159579 1.815607 2.818028
0.727273 0.423458 0.150025 1.825440 2.838269
0.737374 0.376062 0.135047 1.834424 2.858761
0.747475 0.328666 0.120112 1.843409 2.879254
0.757576 0.281270 0.105238 1.852393 2.899747
0.767677 0.233874 0.090455 1.861377 2.920242
0.777778 0.186478 0.075815 1.870362 2.940737
0.787879 0.139082 0.061424 1.879346 2.961233
0.797980 0.091686 0.047504 1.888331 2.981731
0.808081 0.074709 0.042427 1.890632 2.986848
0.818182 0.065337 0.040151 1.891262 2.988119
0.828283 0.057973 0.035608 1.891852 2.989403
0.838384 0.050609 0.031068 1.892441 2.990687
0.848485 0.043245 0.026531 1.893031 2.991972
0.858586 0.035881 0.021999 1.893620 2.993256
0.868687 0.028517 0.017477 1.894210 2.994540
0.878788 0.021153 0.012975 1.894800 2.995824
0.888889 0.013789 0.008522 1.895389 2.997108
0.898990 0.006425 0.004281 1.895979 2.998392
0.909091 0.005132 0.003655 1.896073 2.998581
0.919192 0.004613 0.003268 1.896111 2.998649
0.929293 0.004094 0.002881 1.896149 2.998716
0.939394 0.003574 0.002495 1.896187 2.998784
0.949495 0.003055 0.002109 1.896225 2.998852
0.959596 0.002536 0.001724 1.896263 2.998919
0.969697 0.002016 0.001340 1.896301 2.998987
0.979798 0.001497 0.000960 1.896339 2.999055
0.989899 0.000978 0.000589 1.896377 2.999123
1.000000 0.000458 0.000270 1.896415 2.999190
