# x mean_curv std_curv
0.000000 -18.150323 3.420720
0.010101 -17.486951 3.373194
0.020202 -16.823578 3.337676
0.030303 -16.160205 3.314554
0.040404 -15.496832 3.304087
0.050505 -14.833460 3.306395
0.060606 -14.170087 3.321452
0.070707 -13.536621 3.296555
0.080808 -12.948015 3.206157
0.090909 -12.359408 3.130352
0.101010 -11.869788 3.061499
0.111111 -11.718524 2.879923
0.121212 -11.585305 2.723056
0.131313 -11.481380 2.651503
0.141414 -11.392890 2.634881
0.151515 -11.303864 2.620810
0.161616 -11.214838 2.608614
0.171717 -11.125812 2.598318
0.181818 -11.036786 2.589946
0.191919 -10.961441 2.584226
0.202020 -10.895525 2.579520
0.212121 -10.867321 2.571544
0.222222 -10.839118 2.564253
0.232323 -10.820753 2.568157
0.242424 -10.802387 2.572209
0.252525 -10.783948 2.576168
0.262626 -10.765288 2.579559
0.272727 -10.747886 2.581550
0.282828 -10.727967 2.581649
0.292929 -10.708048 2.581821
0.303030 -10.687517 2.582644
0.313131 -10.665556 2.584876
0.323232 -10.643596 2.587161
0.333333 -10.621636 2.589497
0.343434 -10.597567 2.593526
0.353535 -10.573497 2.597588
0.363636 -10.549428 2.601683
0.373737 -10.524175 2.605428
0.383838 -10.497076 2.603195
0.393939 -10.469713 2.600132
0.404040 -10.438662 2.599109
0.414141 -10.402076 2.601154
0.424242 -10.365491 2.603260
0.434343 -10.328906 2.605429
0.444444 -10.292321 2.607658
0.454545 -10.255538 2.609736
0.464646 -10.216386 2.611097
0.474747 -10.175739 2.614238
0.484848 -10.134718 2.617882
0.494949 -10.093696 2.621606
0.505051 -10.035616 2.627237
0.515152 -9.960476 2.634811
0.525253 -9.885337 2.642511
0.535354 -9.809596 2.651006
0.545455 -9.731450 2.662302
0.555556 -9.649654 2.672624
0.565657 -9.564925 2.679648
0.575758 -9.480197 2.686771
0.585859 -9.395468 2.693994
0.595960 -9.310740 2.701314
0.606061 -9.184184 2.725665
0.616162 -9.029744 2.761434
0.626263 -8.874463 2.794695
0.636364 -8.713297 2.809722
0.646465 -8.543968 2.822971
0.656566 -8.374639 2.836648
0.666667 -8.205310 2.850744
0.676768 -8.025898 2.863342
0.686869 -7.846486 2.876313
0.696970 -7.667073 2.889650
0.707071 -7.438777 2.914280
0.717172 -7.189530 2.944420
0.727273 -6.940283 2.975442
0.737374 -6.677932 3.004742
0.747475 -6.417398 3.033691
0.757576 -6.140255 3.014317
0.767677 -5.857576 2.980773
0.777778 -5.574897 2.949956
0.787879 -5.272780 2.890922
0.797980 -4.970662 2.834032
0.808081 -4.678942 2.743819
0.818182 -4.389821 2.646946
0.828283 -4.115210 2.545137
0.838384 -3.840599 2.444712
0.848485 -3.565988 2.345847
0.858586 -3.291377 2.248749
0.868687 -3.016610 2.153772
0.878788 -2.734832 2.041555
0.888889 -2.442400 1.898401
0.898990 -2.147775 1.754567
0.909091 -1.922267 1.584209
0.919192 -1.713003 1.406175
0.929293 -1.503738 1.228376
0.939394 -1.290939 1.052134
0.949495 -1.075782 0.876778
0.959596 -0.860626 0.701423
0.969697 -0.645469 0.526067
0.979798 -0.430313 0.350711
0.989899 -0.215156 0.175356
1.000000 0.000000 0.000000
