# N max_r avg_degree_mean avg_degree_std avg_R_eff_final avg_cycle_density_final
5000 10 4.816 1.755 2.034 1.566855
5914 10 3.758 1.410 0.564 1.221332
5970 10 3.800 1.374 0.564 1.148896
5995 10 3.707 1.397 0.564 1.175329
11888 10 4.051 1.501 0.798 1.312908
11906 10 4.088 1.492 0.564 1.253557
11924 10 4.156 1.459 1.262 1.232503
23744 10 4.326 1.557 1.493 1.434280
23785 10 4.405 1.651 0.564 1.383804
23803 10 4.419 1.676 1.128 1.443049
59517 10 4.816 1.755 2.034 1.566855
100913 15 3.268 1.310 1.128 0.824743
100913 9 5.998 2.044 2.523 2.146771
100913 8 8.082 2.189 0.564 3.531792
100913 11 4.691 1.639 0.798 1.708035
