# N ds mixing_time plateau_start plateau_end plateau_len
500 7.0924 5890.00 -1 -1 0
500 28.5474 5926.00 -1 -1 0
500 -61.1322 5926.00 -1 -1 0
500 -11.5500 5926.00 -1 -1 0
526 -5.1372 -1.00 -1 -1 0
526 8.4000 -1.00 -1 -1 0
564 -18.6698 -1.00 -1 -1 0
578 -13.6021 -1.00 -1 -1 0
595 -24.5897 -1.00 -1 -1 0
595 -6.7192 -1.00 -1 -1 0
595 13.1470 -1.00 -1 -1 0
595 -7.1807 -1.00 -1 -1 0
595 -1.3988 -1.00 -1 -1 0
1000 14.1371 11811.00 -1 -1 0
1000 19.7092 11913.00 -1 -1 0
1000 1.8938 10828.00 -1 -1 0
1000 0.5623 10828.00 33 39 7
1000 12.7962 11672.00 -1 -1 0
1000 15.9273 11802.00 -1 -1 0
1000 -2.4395 11802.00 -1 -1 0
1083 -3.8328 1060.00 -1 -1 0
1083 -6.8987 1060.00 -1 -1 0
1481 11.2932 1457.00 -1 -1 0
1776 28.0490 1745.00 -1 -1 0
2000 -1.6458 -1.00 -1 -1 0
2000 5.2531 -1.00 -1 -1 0
2104 3.5358 2082.00 10 18 9
2370 30.8932 2338.00 -1 -1 0
4104 19.6338 4047.00 -1 -1 0
5151 -4.9625 5081.00 -1 -1 0
5914 -51.3302 5869.00 -1 -1 0
5914 30.9837 5869.00 -1 -1 0
5914 -49.6295 5869.00 -1 -1 0
5970 19.7287 5890.00 -1 -1 0
5995 -31.2310 5926.00 -1 -1 0
5995 -27.5986 5926.00 -1 -1 0
5995 -39.6465 5926.00 -1 -1 0
6002 -41.6304 5925.00 -1 -1 0
11888 -0.0000 11799.00 263 295 7
11898 5.1314 11811.00 -1 -1 0
11906 -0.0000 11808.00 243 300 11
11906 0.0000 11808.00 202 296 15
11906 -0.0000 11808.00 116 135 6
11924 5.5655 11802.00 -1 -1 0
11924 -4.6184 11802.00 -1 -1 0
11924 -0.0000 11802.00 248 299 12
23803 11.0561 -1.00 -1 -1 0
23803 -3.8093 -1.00 -1 -1 0
23803 3.4398 -1.00 -1 -1 0
59517 -3.4210 -1.00 -1 -1 0
59517 3.4972 -1.00 -1 -1 0
100913 3.1025 -1.00 -1 -1 0
100913 3.7156 -1.00 -1 -1 0
100913 -0.2537 -1.00 -1 -1 0
100913 1.1873 -1.00 -1 -1 0
100913 -8.1732 -1.00 -1 -1 0
100913 0.2664 -1.00 -1 -1 0
100913 0.2241 -1.00 -1 -1 0
