# x mean_U std_U normalization
# normalization: normalized amplitude
0.000000 0.000000 0.000000
0.010101 0.000000 0.000000
0.020202 0.000000 0.000000
0.030303 0.000000 0.000000
0.040404 0.000000 0.000000
0.050505 0.000000 0.000000
0.060606 0.000000 0.000000
0.070707 0.000000 0.000000
0.080808 0.000000 0.000000
0.090909 0.000000 0.000000
0.101010 0.000000 0.000000
0.111111 0.000000 0.000000
0.121212 0.000000 0.000000
0.131313 0.000000 0.000000
0.141414 0.000000 0.000000
0.151515 0.000000 0.000000
0.161616 0.000000 0.000000
0.171717 0.103496 0.292732
0.181818 0.104479 0.295511
0.191919 0.105461 0.298290
0.202020 0.331388 0.393372
0.212121 0.341094 0.400324
0.222222 0.350801 0.407740
0.232323 0.360508 0.415597
0.242424 0.370214 0.423868
0.252525 0.322341 0.505272
0.262626 0.333462 0.503864
0.272727 0.344583 0.503208
0.282828 0.355704 0.503308
0.292929 0.366825 0.504163
0.303030 0.266205 0.656383
0.313131 0.275226 0.640353
0.323232 0.284247 0.624625
0.333333 0.293268 0.609222
0.343434 0.302289 0.594171
0.353535 0.311311 0.579497
0.363636 0.320332 0.565231
0.373737 0.329353 0.551404
0.383838 0.334360 0.540899
0.393939 0.338795 0.531279
0.404040 0.590921 0.517397
0.414141 0.595564 0.510621
0.424242 0.603818 0.506127
0.434343 0.613274 0.503267
0.444444 0.622731 0.501722
0.454545 0.632188 0.501502
0.464646 0.641645 0.502610
0.474747 0.651101 0.505037
0.484848 0.660558 0.508764
0.494949 0.670015 0.513763
0.505051 0.672418 0.513082
0.515152 0.667768 0.506180
0.525253 0.663118 0.499816
0.535354 0.658468 0.494011
0.545455 0.653818 0.488785
0.555556 0.649168 0.484157
0.565657 0.644518 0.480144
0.575758 0.639868 0.476761
0.585859 0.635742 0.474254
0.595960 0.633188 0.473091
0.606061 0.630225 0.472134
0.616162 0.626989 0.471731
0.626263 0.621770 0.473486
0.636364 0.602666 0.485689
0.646465 0.583562 0.500020
0.656566 0.564459 0.516301
0.666667 0.545355 0.534356
0.676768 0.522414 0.551643
0.686869 0.499473 0.570429
0.696970 0.476532 0.590570
0.707071 0.447945 0.589150
0.717172 0.416938 0.580696
0.727273 0.385931 0.575363
0.737374 0.354924 0.573238
0.747475 0.323917 0.574357
0.757576 0.308586 0.542033
0.767677 0.298481 0.498272
0.777778 0.288376 0.455067
0.787879 0.278271 0.412591
0.797980 0.268165 0.371097
0.808081 0.247960 0.330245
0.818182 0.225229 0.289515
0.828283 0.202498 0.249022
0.838384 0.178963 0.208231
0.848485 0.154625 0.167132
0.858586 0.130286 0.126625
0.868687 0.105948 0.087536
0.878788 0.078242 0.057055
0.888889 0.044925 0.037327
0.898990 0.011608 0.023932
0.909091 0.003762 0.010640
0.919192 0.000000 0.000000
0.929293 0.000000 0.000000
0.939394 0.000000 0.000000
0.949495 0.000000 0.000000
0.959596 0.000000 0.000000
0.969697 0.000000 0.000000
0.979798 0.000000 0.000000
0.989899 0.000000 0.000000
1.000000 0.000000 0.000000
